scope,server,iter,event,test_id,suite_id,process_lifetime_ms,shutdown_latency_ms,signaled_with,killed_by_timeout,pid
process,echo_server,4,release_test,s1-t1,,9.218,3.306,SIGTERM,0,3309816
process,echo_server,4,acquire,s1-t1,s1,0.000,0.000,,0,3309829
process,echo_server,4,release_test,s1-t1,,3.434,3.759,SIGTERM,0,3309829
test,echo_server,4,acquire,s1-t1,s1,0.000,0.000,,0,3309845
test,echo_server,4,release_test,s1-t1,,2.795,1.227,SIGTERM,0,3309845
test,echo_server,4,acquire,s1-s1-t1,s1-s1,0.000,0.000,,0,3309917
test,echo_server,4,acquire,s1-s1-t2,s1-s1,0.000,0.000,,0,3309917
test,echo_server,4,acquire,s1-s1-t3,s1-s1,0.000,0.000,,0,3309917
test,echo_server,4,acquire,s1-s1-t4,s1-s1,0.000,0.000,,0,3309917
test,echo_server,4,release_suite,,s1-s1,9.974,1.173,SIGTERM,0,3309917
test,echo_server,4,acquire,s1-s1-t1,s1-s1,0.000,0.000,,0,3309918
test,echo_server,4,acquire,s1-s1-t2,s1-s1,0.000,0.000,,0,3309918
test,echo_server,4,acquire,s1-s1-t3,s1-s1,0.000,0.000,,0,3309918
test,echo_server,4,acquire,s1-s1-t4,s1-s1,0.000,0.000,,0,3309918
test,echo_server,4,release_suite,,s1-s1,10.703,1.214,SIGTERM,0,3309918
test,echo_server,4,acquire,s1-s1-t1,s1-s1,0.000,0.000,,0,3309911
test,echo_server,4,acquire,s1-s1-t2,s1-s1,0.000,0.000,,0,3309911
test,echo_server,4,acquire,s1-s1-t3,s1-s1,0.000,0.000,,0,3309911
test,echo_server,4,acquire,s1-s1-t4,s1-s1,0.000,0.000,,0,3309911
test,echo_server,4,release_suite,,s1-s1,11.865,1.189,SIGTERM,0,3309911
test,echo_server,4,acquire,s1-s1-t1,s1-s1,0.000,0.000,,0,3309916
test,echo_server,4,acquire,s1-s1-t2,s1-s1,0.000,0.000,,0,3309916
test,echo_server,4,acquire,s1-s1-t3,s1-s1,0.000,0.000,,0,3309916
test,echo_server,4,acquire,s1-s1-t4,s1-s1,0.000,0.000,,0,3309916
test,echo_server,4,release_suite,,s1-s1,15.371,1.180,SIGTERM,0,3309916
process,echo_server,1,acquire,s1-t1,s1,0.000,0.000,,0,3310399
process,echo_server,1,release_test,s1-t1,,6.019,7.204,SIGTERM,0,3310399
process,echo_server,1,acquire,s1-t1,s1,0.000,0.000,,0,3310403
process,echo_server,1,release_test,s1-t1,,3.884,5.342,SIGTERM,0,3310403
process,echo_server,1,acquire,s1-t1,s1,0.000,0.000,,0,3310400
process,echo_server,1,release_test,s1-t1,,10.398,4.170,SIGTERM,0,3310400
process,echo_server,1,acquire,s1-t1,s1,0.000,0.000,,0,3310395
process,echo_server,1,release_test,s1-t1,,6.369,9.850,SIGTERM,0,3310395
process,echo_server,1,acquire,s1-t1,s1,0.000,0.000,,0,3310404
process,echo_server,1,release_test,s1-t1,,6.671,1.205,SIGTERM,0,3310404
process,echo_server,1,acquire,s1-t1,s1,0.000,0.000,,0,3310409
process,echo_server,1,release_test,s1-t1,,6.016,1.536,SIGTERM,0,3310409
process,echo_server,1,acquire,s1-t1,s1,0.000,0.000,,0,3310405
process,echo_server,1,release_test,s1-t1,,7.322,1.216,SIGTERM,0,3310405
process,echo_server,1,acquire,s1-t1,s1,0.000,0.000,,0,3310410
process,echo_server,1,release_test,s1-t1,,2.960,1.186,SIGTERM,0,3310410
process,echo_server,1,acquire,s1-t1,s1,0.000,0.000,,0,3310407
process,echo_server,1,release_test,s1-t1,,8.112,1.271,SIGTERM,0,3310407
process,echo_server,1,acquire,s1-t1,s1,0.000,0.000,,0,3310408
process,echo_server,1,release_test,s1-t1,,10.005,4.037,SIGTERM,0,3310408
process,echo_server,1,acquire,s1-t1,s1,0.000,0.000,,0,3310406
process,echo_server,1,release_test,s1-t1,,6.609,3.744,SIGTERM,0,3310406
process,echo_server,1,acquire,s1-t1,s1,0.000,0.000,,0,3310411
process,echo_server,1,release_test,s1-t1,,2.970,1.224,SIGTERM,0,3310411
process,rf_mcp_substitute,3,acquire,s1-t1,s1,0.000,0.000,,0,3310720
process,rf_mcp_substitute,3,release_test,s1-t1,,7.020,1.477,SIGTERM,0,3310720
