scope,server,iter,pabot_rc,wall_time_s,tests_passed,acquire_count,release_test_count,release_suite_count,shutdown_all_count,acquire_failed_count,shutdown_median_ms,shutdown_p95_ms,shutdown_max_ms,process_lifetime_median_ms,process_lifetime_p95_ms,leaks_after,killed_by_timeout_count
suite,slow_server,1,0,1.95,16,16,0,4,0,0,1.188,3.953,3.953,10.194,11.464,0,0
suite,slow_server,2,0,1.93,16,16,0,4,0,0,1.192,1.210,1.210,9.895,10.102,0,0
suite,slow_server,3,0,2.15,16,16,0,4,0,0,1.192,3.324,3.324,11.024,12.001,0,0
suite,slow_server,4,0,2.01,16,16,0,4,0,0,1.183,1.196,1.196,9.711,9.902,3,0
suite,slow_server,5,0,2.11,16,16,0,4,0,0,1.176,1.189,1.189,10.176,10.661,0,0
process,echo_server,1,0,1.99,16,16,0,0,4,0,1.189,1.330,1.330,13.194,13.498,0,0
process,echo_server,2,0,1.82,16,16,0,0,4,0,1.207,3.373,3.373,12.723,12.979,0,0
process,echo_server,3,0,1.83,16,16,0,0,4,0,1.291,3.420,3.420,14.281,16.589,0,0
process,echo_server,4,0,1.82,16,16,0,0,4,0,1.192,1.199,1.199,14.077,14.623,0,0
process,echo_server,5,0,1.87,16,16,0,0,4,0,1.186,1.234,1.234,13.303,14.303,0,0
process,rf_mcp_substitute,1,0,2.08,16,16,0,0,4,0,1.179,4.849,4.849,18.502,25.747,0,0
process,rf_mcp_substitute,2,0,2.07,16,16,0,0,4,0,1.188,2.042,2.042,12.285,12.982,0,0
process,rf_mcp_substitute,3,0,1.90,16,16,0,0,4,0,1.193,1.232,1.232,14.259,14.660,0,0
process,rf_mcp_substitute,4,0,1.93,16,16,0,0,4,0,1.223,1.330,1.330,15.346,21.160,0,0
process,rf_mcp_substitute,5,0,1.82,16,16,0,0,4,0,1.199,1.203,1.203,13.034,14.028,0,0
process,slow_server,1,0,1.82,16,16,0,0,4,0,1.248,3.285,3.285,12.697,13.178,0,0
process,slow_server,2,0,1.82,16,16,0,0,4,0,1.193,1.208,1.208,12.912,13.187,0,0
process,slow_server,3,0,2.47,16,32,16,0,4,0,1.242,7.825,9.218,7.358,17.723,0,0
process,slow_server,4,0,1.93,16,16,0,0,4,0,1.185,3.314,3.314,14.227,14.695,0,0
process,slow_server,5,0,1.94,16,16,0,0,4,0,1.189,1.206,1.206,13.240,15.496,0,0
